year,ML_베이스라인_수요,연간_총_최종수요
2026,265895359,278282168
2027,266666557,288232303
2028,267232573,299686011
2029,267313124,307746396
2030,266282165,315470574
2031,265562462,322651160
2032,267051942,331998439
2033,266994941,340060417
2034,266962563,349876759
2035,266987055,358761778
2036,266398106,367373155
2037,265860532,374854932
2038,265866597,382444874
2039,267121262,391046680
2040,267526956,396739151
2041,266588217,399179467
2042,265453461,400946605
2043,265725514,404492315
2044,267060999,409815551
2045,266735142,413863963
2046,266880872,418294594
2047,266125760,421133987
2048,267090878,425228332
2049,266128628,424828664
2050,266741977,425474039
